id,created_at,payload
3062655,2021-06-23 20:35:16.609,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'IRJY', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062660,2021-06-23 20:35:36.616,"{'DeviceID': 'MAMAGPS1', 'MessageID': '0KDS', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062665,2021-06-23 20:35:56.607,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'EY4G', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062669,2021-06-23 20:36:16.602,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'XY6S', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062674,2021-06-23 20:36:36.608,"{'DeviceID': 'MAMAGPS1', 'MessageID': '17UQ', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062679,2021-06-23 20:36:56.609,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'WB4T', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062684,2021-06-23 20:37:16.609,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'B9TS', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062689,2021-06-23 20:37:36.612,"{'DeviceID': 'MAMAGPS1', 'MessageID': '44EQ', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062694,2021-06-23 20:37:56.608,"{'DeviceID': 'MAMAGPS1', 'MessageID': '27HS', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062699,2021-06-23 20:38:16.607,"{'DeviceID': 'MAMAGPS1', 'MessageID': '3JQA', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062704,2021-06-23 20:38:36.604,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'QQCI', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062709,2021-06-23 20:38:56.783,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'T54F', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062714,2021-06-23 20:39:16.621,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'RQVH', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062719,2021-06-23 20:39:36.606,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'CV33', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062724,2021-06-23 20:39:56.616,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'FAS4', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062730,2021-06-23 20:40:16.616,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'OU47', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
